ProbeName,Symbol,amplitude,variance_amp_layer,sd_amp_layer,cv_amp_layer,variance_amp_subj,sd_amp_subj,cv_amp_subj,phase,variance_phase_layer,sd_phase_layer,cv_phase_layer,variance_phase_subj,sd_phase_subj,cv_phase_subj,magnitude,variance_magn_layer,sd_magn_layer,cv_magn_layer,variance_magn_subj,sd_magn_subj,cv_magn_subj
A_23_P24784,TNNI2,0.27967367400729,0.005290985046789,0.072739157589217,0.260085822691057,0.022265887206944,0.149217583437557,0.53354175707531,-9.05806727136026,0.06742676836518,0.259666648542281,0.010819443689262,0.351647198937776,0.592998481395843,0.02470827005816,10.4697035342626,0.152623780213529,0.390670935972372,0.037314422007642,0.228034764772507,0.477529857467056,0.04561063796165
A_24_P494454,SPIN3,0.147532816674432,0.009694760753841,0.098461976182897,0.667390336620343,0.006593996445935,0.081203426318936,0.550409245545225,3.57581969281128,0.241446793580852,0.491372357363387,0.020473848223475,1.9188685450179,1.38523230723872,0.057718012801613,5.26938409260797,0.253228238447404,0.503217883672077,0.09549842540004,0.050418036579846,0.224539610269204,0.04261211677171
A_23_P49338,TNFRSF12A,0.367034909737376,0.014134316808933,0.11888783288854,0.323914237404848,0.000207160683666,0.014393077630084,0.039214465022913,-4.93243829541648,0.048581381345648,0.220411844839717,0.009183826868322,0.68089004636535,0.825160618525478,0.034381692438562,8.63751581148589,0.118206466124842,0.343811672467416,0.039804462298087,0.082534612304741,0.287288378297385,0.03326053283924
A_23_P503233,EDARADD,0.178121964973875,0.007898389941266,0.088872886423621,0.498944004107834,0.001248882748878,0.035339535210277,0.198400771153968,-5.98726569280695,2.76690808117684E-06,0.001663402561371,6.93084400571405E-05,0.285732754512652,0.534539759524633,0.022272489980193,10.9136019011556,0.110134310277478,0.331864897627752,0.030408374854924,0.036155096129063,0.190144934534326,0.017422747893543
A_23_P162300,IRAK3,0.227604422890711,1.02064420564944E-10,1.01026937281571E-05,4.43870712170127E-05,0.006843040988606,0.082722675178008,0.363449330761593,11.6214458698997,7.7127846554183E-10,2.77719006469098E-05,1.15716252695458E-06,0.262411041748728,0.512260716577729,0.021344196524072,5.22384458097053,1.96619834689301,1.40221194792122,0.268425280688711,0.056259557530669,0.237190972700626,0.045405442107652
A_32_P95729,FANCI,0.294764312922231,0.00226884140562,0.047632356708647,0.16159472032564,0.002021314461827,0.044959030926243,0.152525353155979,-9.4320656362716,0.041214713181832,0.203014071388739,0.008458919641197,0.124996695399674,0.353548717151787,0.014731196547991,7.98162442836987,0.00568077142669,0.075370892436602,0.009443051738779,0.031283262114171,0.176870749741644,0.022159743461867
A_24_P277295,RAB43,0.189353561203558,0.001865770307469,0.043194563401765,0.22811592835759,0.001551936419988,0.039394624252398,0.208047971223777,-9.78533454393611,0.034458533202996,0.185630097783189,0.007734587407633,0.297420955139778,0.545363140613461,0.022723464192228,8.55418015394087,0.621513382019948,0.788361200224839,0.092160930216281,0.035029172744556,0.187160820538264,0.021879457431352
A_23_P3014,RNASE6,0.186303146553102,0.003768915884989,0.061391496845975,0.329524744921452,0.001120767543557,0.033477866472594,0.179695657813553,2.67636687172604,0.105875592460359,0.32538529846992,0.01355772076958,1.3783573743551,1.17403465636884,0.048918110682035,6.29954131954338,0.791591410461431,0.889714229661092,0.141234763696348,0.142448771581891,0.377423861966743,0.059912911563234
A_24_P133253,KITLG,0.229895064451864,0,0,0,0.001183213340515,0.034397868255387,0.149624213714208,-0.006525950203269,0,0,0,0.024187496107191,0.155523297634763,0.006480137401448,7.26581375737479,2.61741979673931,1.61784418184796,0.22266524244526,0.103673830703664,0.321984208779971,0.044314954873865
A_24_P195669,MYO15B,0.1422206879663,0.018268222658722,0.135159989119271,0.950353925663038,0.002190964604059,0.046807740856181,0.329120478360166,0.472278706631648,0.013949225981635,0.118106841383701,0.004921118390988,0.056534987776017,0.237770872429777,0.009907119684574,6.93195065031421,1.01465593516382,1.00730131299618,0.145312822293465,0.039395904272379,0.198484015155829,0.028633212376784
A_23_P29153,RSPH14,0.220592512119725,0.000580808852093,0.024099976184483,0.109251107179025,0.005686200135839,0.075406897137056,0.341837972705662,-9.73486546048808,0.026280187686087,0.162111651913385,0.006754652163058,0.247666725912692,0.497661256190084,0.020735885674587,6.08020219848983,0.017710952423065,0.133082502317416,0.021887841550807,0.085106769399348,0.291730645286621,0.047980418374751
A_32_P174365,SATB2,0.210086706194312,0.003095482913319,0.055637064204709,0.264829056595563,0.000664790118649,0.025783524170456,0.122728013768795,3.71123563052904,0.032712990755875,0.180867329155585,0.007536138714816,0.072266456646439,0.268824211421589,0.011201008809233,5.13409550563101,0.172332899422916,0.415129978949866,0.080857471095845,0.113809696954126,0.337356928125281,0.065709125931778
A_23_P212310,ELP6,0.252619759074119,4.47106663378725E-10,2.11448968637524E-05,8.37024662728319E-05,0.01169194955288,0.108129318655395,0.428031912672634,1.76088995443719,1.72844531033129E-09,4.15745752874433E-05,1.73227397031014E-06,0.249379495577625,0.499379110073324,0.020807462919722,9.2073577797249,0.002994840593411,0.054725136760096,0.005943630960079,0.018520492568965,0.136090016419151,0.014780572198338
A_24_P333857,SGIP1,0.221145792790307,0.005426577843538,0.073665309634439,0.333107443306821,0.018258519911552,0.135124090788993,0.611018139138278,10.0132393228782,0.036398274847524,0.190783319101865,0.007949304962578,0.364207346203084,0.603495937188548,0.025145664049523,4.8680801842757,0.894792650159236,0.945934802277216,0.194313726658132,0.081121904311503,0.284819072941935,0.05850747361597
A_24_P293530,CYP4X1,0.491713656793498,0.118709434385387,0.344542354994835,0.700697144028136,0.025447085879612,0.159521427650369,0.324419355546519,-11.4257358822553,0.011266790018267,0.106145136573783,0.004422714023908,0.016426658813305,0.128166527663447,0.005340271985977,6.61105303181462,0.528805149195095,0.727189898991381,0.109996077098746,0.14364456891681,0.379004708304277,0.057328946913658
A_23_P217528,KLF8,0.429545365237442,0.006240021795952,0.078993808592524,0.183900968292042,0.0022429197017,0.047359473199143,0.110254881164796,3.35702088527925,0.023219011707045,0.152377858322804,0.006349077430117,0.000970281644107,0.031149344200272,0.001297889341678,9.3307423404227,0.744578805776755,0.862889799323619,0.092478151023998,0.023476679538731,0.153221015329918,0.016421095957835
A_32_P214925,TCAF2,0.23011903598433,0.001374896945092,0.037079602817344,0.161132270777758,0.011361110225481,0.106588508881027,0.463188577273048,-10.9630623959443,0.238795240710061,0.488666799271304,0.020361116636304,0.075367122700368,0.274530731795855,0.011438780491494,5.89732435749503,0.027557686060189,0.166005078416864,0.028149219604291,0.001384753725493,0.037212279230019,0.006310027560673
A_23_P208143,ZNF397,0.277979643581441,0.005723988104028,0.075657042659809,0.272167564808187,0.017193368718717,0.131123486525936,0.471701757857388,-0.352984909748734,0.000636209337387,0.025223190468048,0.001050966269502,0.007339959290615,0.085673562378455,0.003569731765769,7.30751911472797,0.00085689754919,0.029272812457814,0.004005848222664,0.013699828371967,0.117046265946277,0.016017237055237
A_23_P18276,RBM5,0.262601386621604,0.00087075331804,0.029508529581127,0.112370044807293,0.020571060466497,0.143426149869879,0.546174381312576,-0.160361073199714,0.00397280741357,0.063030210324651,0.002626258763527,0.00128548997798,0.035853730321688,0.00149390543007,12.2350770483864,0.012702462480876,0.11270520165847,0.009211646253861,0.021094650547171,0.145239975720085,0.011870785541088
A_32_P930685,ZNF876P,0.327671366820402,0.02802215933834,0.167398205899405,0.51087224228279,0.000698956222283,0.026437780207184,0.080683828018681,-11.2127694188956,0.011407412126683,0.106805487343502,0.004450228639313,0.074244047273248,0.272477608755744,0.011353233698156,5.03925909362588,0.037643620007471,0.194019638200547,0.038501619900029,0.0542733262577,0.232966362931861,0.046230280801902
A_23_P19673,SGK1,0.234776375429857,0.007411471926431,0.086089906065877,0.366688964800026,1.4520534033992E-05,0.003810581849796,0.016230686936958,2.84177978466629,0.158721382531482,0.398398522250625,0.016599938427109,0.17663849442367,0.420283826031493,0.017511826084646,10.4700485159981,0.052439520211312,0.228996768997537,0.021871605336655,0.038741286377404,0.196828062982401,0.018799154815916
A_23_P91970,AADACL2,0.411916791535545,0,0,0,0.000269673318893,0.016421733126968,0.039866627106291,2.51883719640336,0,0,0,0.046845988998663,0.216439342538881,0.00901830593912,9.68426429769405,7.17492469718257,2.67860499088286,0.27659354480037,0.011105091528252,0.105380698082009,0.010881642099246
A_24_P211797,ICA1L,0.338542415698648,2.57997817060972E-06,0.001606231045214,0.00474454889766,0.01224100706311,0.11063908469935,0.326810111728613,11.9020591795562,0.034224313352197,0.184998144185817,0.007708256007742,0.186411089947493,0.431753506004865,0.017989729416869,5.10522887578901,0.099543674308675,0.315505426749961,0.061800447037,0.044519615456988,0.210996719066881,0.041329531780154
A_23_P369994,DCLK1,0.184084243875299,0.000972366515175,0.031182791972103,0.169394138877124,0.014307795004199,0.11961519554053,0.649785082212461,-11.2723670488918,0.771682204892185,0.878454440988367,0.036602268374515,0.206150364962617,0.454037845297743,0.018918243554073,7.57718873547109,12.1273689321447,3.48243721151505,0.459594888433056,0.048812920833546,0.220936463340813,0.029158104813536
A_24_P100234,MORC2,0.294247458652748,0,0,0,0.044308146938658,0.210495004545613,0.715367281367162,-0.626293897695308,0,0,0,0.224177641120177,0.473474013141352,0.01972808388089,6.2184950428509,0.077338736698972,0.278098429875057,0.04472117899246,0.079997170670828,0.282837710835786,0.045483305669103
A_24_P38081,FKBP5,0.729463939265271,0,0,0,0.009374169086213,0.09682029273976,0.13272800412489,7.88990384773228,0,0,0,0.200617035111456,0.447902930456428,0.018662622102351,7.05074362108086,0.002427591797547,0.049270597698288,0.006988000180715,0.081852246676734,0.286098316452113,0.04057704149059
A_24_P323941,FAM209A,0.651708669641554,0.00151737208861,0.038953460547299,0.059771278735211,0.030239833968351,0.173896043567273,0.266830950189626,-10.8585342912906,0.000339044295655,0.018413155505094,0.000767214812712,0.046248464665641,0.215054562066563,0.008960606752773,7.16745664694055,0.003609884723986,0.060082316233527,0.008382654990899,0.097953286004459,0.312974896764037,0.043666102521545
A_23_P120812,IGLL1,0.303690554968165,0.001864041031473,0.043174541473807,0.142166230616993,0.003348968876576,0.057870276278728,0.190556720754106,3.17452598954252,0.018427201074099,0.135746827123507,0.005656117796813,0.086763376670417,0.294556236855405,0.012273176535642,5.39350991659033,0,0,0,0.041133947530663,0.202815057455464,0.037603538436373
A_32_P28685,SNRPA1,0.22174501746393,0.00027416405394,0.016557900046196,0.07467090009763,0.001236726534885,0.035167122925889,0.158592618350981,-9.4042357848934,0.008541501546595,0.092420244246565,0.003850843510274,0.023898732796286,0.154592149853368,0.006441339577224,8.92311056598987,0.025387468268382,0.159334454115806,0.017856380119631,0.014470682791959,0.120294151112843,0.013481190244503
A_23_P5654,IL37,0.350275502405553,1.11949537390353E-09,3.34588609176034E-05,9.55215557120645E-05,0.007187062573963,0.084776544951793,0.242028187439833,2.55848960392544,1.45482569967099E-08,0.000120616155621,5.02567315086129E-06,0.014887238496548,0.122013271804947,0.005083886325206,8.98081871118206,13.8959560951205,3.7277280071272,0.415076634659798,0.028051327022141,0.167485303899003,0.018649224451048
A_23_P86470,CH25H,0.682202259920012,0.117550149943862,0.342855873427687,0.502572174809105,0.04823782429628,0.219631109582136,0.321944271494919,-0.427160383282809,0.115028272183501,0.339158181654963,0.01413159090229,0.000817893844061,0.028598843404249,0.001191618475177,6.61240476416387,3.40305860617207,1.84473808606319,0.278981422320182,0.181716254091295,0.426281895101463,0.064466999572033
